dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1751-12-01,,,Århus,Denmark,57.05N,10.33E
1752-01-01,-0.7809999999999999,2.622,Århus,Denmark,57.05N,10.33E
1752-02-01,,,Århus,Denmark,57.05N,10.33E
1752-03-01,3.05,1.695,Århus,Denmark,57.05N,10.33E
1752-04-01,5.489,2.51,Århus,Denmark,57.05N,10.33E
1752-05-01,,,Århus,Denmark,57.05N,10.33E
1752-06-01,,,Århus,Denmark,57.05N,10.33E
1752-07-01,,,Århus,Denmark,57.05N,10.33E
1752-08-01,,,Århus,Denmark,57.05N,10.33E
1752-09-01,,,Århus,Denmark,57.05N,10.33E
1752-10-01,8.908,1.709,Århus,Denmark,57.05N,10.33E
1752-11-01,5.6370000000000005,0.9209999999999999,Århus,Denmark,57.05N,10.33E
1752-12-01,2.242,1.175,Århus,Denmark,57.05N,10.33E
1753-01-01,-1.259,8.151,Århus,Denmark,57.05N,10.33E
1753-02-01,-0.285,3.715,Århus,Denmark,57.05N,10.33E
1753-03-01,4.21,3.695,Århus,Denmark,57.05N,10.33E
1753-04-01,6.765,6.727,Århus,Denmark,57.05N,10.33E
1753-05-01,10.65,2.3080000000000003,Århus,Denmark,57.05N,10.33E
1753-06-01,14.444,3.891,Århus,Denmark,57.05N,10.33E
1753-07-01,16.293000000000006,2.6189999999999998,Århus,Denmark,57.05N,10.33E
1753-08-01,15.807999999999998,8.671,Århus,Denmark,57.05N,10.33E
1753-09-01,13.225999999999999,1.6019999999999999,Århus,Denmark,57.05N,10.33E
1753-10-01,9.529,2.69,Århus,Denmark,57.05N,10.33E
1753-11-01,2.871,3.616,Århus,Denmark,57.05N,10.33E
1753-12-01,-3.228,5.421,Århus,Denmark,57.05N,10.33E
1754-01-01,-0.5660000000000001,2.065,Århus,Denmark,57.05N,10.33E
1754-02-01,-0.943,4.59,Århus,Denmark,57.05N,10.33E
1754-03-01,-0.645,4.091,Århus,Denmark,57.05N,10.33E
1754-04-01,5.658,8.046,Århus,Denmark,57.05N,10.33E
1754-05-01,12.265999999999998,3.395,Århus,Denmark,57.05N,10.33E
1754-06-01,14.835,1.5959999999999999,Århus,Denmark,57.05N,10.33E
1754-07-01,15.04,3.327,Århus,Denmark,57.05N,10.33E
1754-08-01,15.537,5.867999999999999,Århus,Denmark,57.05N,10.33E
1754-09-01,12.023,4.118,Århus,Denmark,57.05N,10.33E
1754-10-01,9.129,1.831,Århus,Denmark,57.05N,10.33E
1754-11-01,4.141,2.133,Århus,Denmark,57.05N,10.33E
1754-12-01,1.45,2.8480000000000003,Århus,Denmark,57.05N,10.33E
1755-01-01,-3.4360000000000004,5.961,Århus,Denmark,57.05N,10.33E
1755-02-01,-4.277,4.258,Århus,Denmark,57.05N,10.33E
1755-03-01,0.3559999999999999,5.25,Århus,Denmark,57.05N,10.33E
1755-04-01,7.590999999999998,5.079,Århus,Denmark,57.05N,10.33E
1755-05-01,10.978,2.551,Århus,Denmark,57.05N,10.33E
1755-06-01,16.671,3.943,Århus,Denmark,57.05N,10.33E
1755-07-01,17.572000000000006,2.255,Århus,Denmark,57.05N,10.33E
1755-08-01,14.832999999999998,3.26,Århus,Denmark,57.05N,10.33E
1755-09-01,11.725,1.047,Århus,Denmark,57.05N,10.33E
1755-10-01,8.033,7.966,Århus,Denmark,57.05N,10.33E
1755-11-01,3.284,8.889,Århus,Denmark,57.05N,10.33E
1755-12-01,1.6640000000000001,8.234,Århus,Denmark,57.05N,10.33E
1756-01-01,2.011,6.563,Århus,Denmark,57.05N,10.33E
1756-02-01,2.887,4.599,Århus,Denmark,57.05N,10.33E
1756-03-01,2.6839999999999997,7.896,Århus,Denmark,57.05N,10.33E
1756-04-01,4.208,2.8689999999999998,Århus,Denmark,57.05N,10.33E
1756-05-01,9.351,5.898,Århus,Denmark,57.05N,10.33E
1756-06-01,16.632,3.577,Århus,Denmark,57.05N,10.33E
1756-07-01,18.102999999999998,2.502,Århus,Denmark,57.05N,10.33E
1756-08-01,15.018999999999998,10.591,Århus,Denmark,57.05N,10.33E
1756-09-01,13.472999999999999,3.8689999999999998,Århus,Denmark,57.05N,10.33E
1756-10-01,8.355,4.119,Århus,Denmark,57.05N,10.33E
1756-11-01,1.251,5.456,Århus,Denmark,57.05N,10.33E
1756-12-01,-0.6520000000000001,2.805,Århus,Denmark,57.05N,10.33E
1757-01-01,-2.442,3.497,Århus,Denmark,57.05N,10.33E
1757-02-01,0.8570000000000001,4.937,Århus,Denmark,57.05N,10.33E
1757-03-01,1.727,4.2010000000000005,Århus,Denmark,57.05N,10.33E
1757-04-01,7.756,7.117000000000001,Århus,Denmark,57.05N,10.33E
1757-05-01,10.081,4.0889999999999995,Århus,Denmark,57.05N,10.33E
1757-06-01,16.435000000000002,4.667,Århus,Denmark,57.05N,10.33E
1757-07-01,20.179,7.553999999999999,Århus,Denmark,57.05N,10.33E
1757-08-01,16.895999999999994,5.377000000000001,Århus,Denmark,57.05N,10.33E
1757-09-01,12.892999999999999,9.281,Århus,Denmark,57.05N,10.33E
1757-10-01,4.851,12.809000000000001,Århus,Denmark,57.05N,10.33E
1757-11-01,5.122999999999998,6.157,Århus,Denmark,57.05N,10.33E
1757-12-01,0.325,11.445,Århus,Denmark,57.05N,10.33E
1758-01-01,-3.154,1.744,Århus,Denmark,57.05N,10.33E
1758-02-01,-1.1420000000000001,3.545,Århus,Denmark,57.05N,10.33E
1758-03-01,1.188,4.982,Århus,Denmark,57.05N,10.33E
1758-04-01,4.074999999999998,9.029,Århus,Denmark,57.05N,10.33E
1758-05-01,12.793,6.694,Århus,Denmark,57.05N,10.33E
1758-06-01,15.525,5.937,Århus,Denmark,57.05N,10.33E
1758-07-01,15.706,9.589,Århus,Denmark,57.05N,10.33E
1758-08-01,16.438,7.794,Århus,Denmark,57.05N,10.33E
1758-09-01,11.267000000000001,3.687,Århus,Denmark,57.05N,10.33E
1758-10-01,6.045,13.217,Århus,Denmark,57.05N,10.33E
1758-11-01,4.106,10.942,Århus,Denmark,57.05N,10.33E
1758-12-01,0.121,6.5729999999999995,Århus,Denmark,57.05N,10.33E
1759-01-01,2.6710000000000003,7.513,Århus,Denmark,57.05N,10.33E
1759-02-01,3.162,9.225,Århus,Denmark,57.05N,10.33E
1759-03-01,3.4019999999999997,3.972,Århus,Denmark,57.05N,10.33E
1759-04-01,6.065,6.655,Århus,Denmark,57.05N,10.33E
1759-05-01,9.503,3.8569999999999998,Århus,Denmark,57.05N,10.33E
1759-06-01,16.363,6.9110000000000005,Århus,Denmark,57.05N,10.33E
1759-07-01,18.645000000000003,5.303,Århus,Denmark,57.05N,10.33E
1759-08-01,17.195999999999998,8.176,Århus,Denmark,57.05N,10.33E
1759-09-01,12.299000000000001,7.154,Århus,Denmark,57.05N,10.33E
1759-10-01,8.314,5.691,Århus,Denmark,57.05N,10.33E
1759-11-01,1.885,7.407,Århus,Denmark,57.05N,10.33E
1759-12-01,-2.6580000000000004,11.807,Århus,Denmark,57.05N,10.33E
1760-01-01,-4.787,5.421,Århus,Denmark,57.05N,10.33E
1760-02-01,-0.386,3.9010000000000002,Århus,Denmark,57.05N,10.33E
1760-03-01,0.8690000000000001,10.897,Århus,Denmark,57.05N,10.33E
1760-04-01,5.651,7.83,Århus,Denmark,57.05N,10.33E
1760-05-01,11.112,4.918,Århus,Denmark,57.05N,10.33E
1760-06-01,16.334,3.109,Århus,Denmark,57.05N,10.33E
1760-07-01,17.21,5.227,Århus,Denmark,57.05N,10.33E
1760-08-01,16.194000000000003,9.474,Århus,Denmark,57.05N,10.33E
1760-09-01,14.51,6.789,Århus,Denmark,57.05N,10.33E
1760-10-01,7.273,5.739,Århus,Denmark,57.05N,10.33E
1760-11-01,3.447,3.927,Århus,Denmark,57.05N,10.33E
1760-12-01,1.733,2.991,Århus,Denmark,57.05N,10.33E
1761-01-01,0.6699999999999999,8.344,Århus,Denmark,57.05N,10.33E
1761-02-01,1.186,4.471,Århus,Denmark,57.05N,10.33E
1761-03-01,4.852,1.618,Århus,Denmark,57.05N,10.33E
1761-04-01,6.5299999999999985,4.78,Århus,Denmark,57.05N,10.33E
1761-05-01,12.109000000000002,5.75,Århus,Denmark,57.05N,10.33E
1761-06-01,17.162,2.9619999999999997,Århus,Denmark,57.05N,10.33E
1761-07-01,16.500999999999998,6.657,Århus,Denmark,57.05N,10.33E
1761-08-01,17.794,4.187,Århus,Denmark,57.05N,10.33E
1761-09-01,14.39,4.592,Århus,Denmark,57.05N,10.33E
1761-10-01,5.43,6.193,Århus,Denmark,57.05N,10.33E
1761-11-01,4.229,2.406,Århus,Denmark,57.05N,10.33E
1761-12-01,-1.1630000000000005,2.66,Århus,Denmark,57.05N,10.33E
1762-01-01,1.639,3.181,Århus,Denmark,57.05N,10.33E
1762-02-01,-0.308,9.353,Århus,Denmark,57.05N,10.33E
1762-03-01,-0.8959999999999999,5.649,Århus,Denmark,57.05N,10.33E
1762-04-01,8.1,4.7,Århus,Denmark,57.05N,10.33E
1762-05-01,11.219000000000001,7.922000000000001,Århus,Denmark,57.05N,10.33E
1762-06-01,15.966,8.177,Århus,Denmark,57.05N,10.33E
1762-07-01,16.334,3.654,Århus,Denmark,57.05N,10.33E
1762-08-01,13.890999999999998,2.867,Århus,Denmark,57.05N,10.33E
1762-09-01,12.165999999999999,10.03,Århus,Denmark,57.05N,10.33E
1762-10-01,4.046,4.986000000000001,Århus,Denmark,57.05N,10.33E
1762-11-01,3.5980000000000003,2.5669999999999997,Århus,Denmark,57.05N,10.33E
1762-12-01,0.467,6.983,Århus,Denmark,57.05N,10.33E
1763-01-01,-3.244,6.507000000000001,Århus,Denmark,57.05N,10.33E
1763-02-01,0.6629999999999999,5.289,Århus,Denmark,57.05N,10.33E
1763-03-01,0.5009999999999999,8.433,Århus,Denmark,57.05N,10.33E
1763-04-01,4.349,2.153,Århus,Denmark,57.05N,10.33E
1763-05-01,10.373,3.7260000000000004,Århus,Denmark,57.05N,10.33E
1763-06-01,14.92,7.266,Århus,Denmark,57.05N,10.33E
1763-07-01,17.464000000000002,1.9380000000000002,Århus,Denmark,57.05N,10.33E
1763-08-01,16.296,3.9360000000000004,Århus,Denmark,57.05N,10.33E
1763-09-01,11.749,3.365,Århus,Denmark,57.05N,10.33E
1763-10-01,7.252000000000001,7.466,Århus,Denmark,57.05N,10.33E
1763-11-01,3.312,4.345,Århus,Denmark,57.05N,10.33E
1763-12-01,1.6440000000000001,2.487,Århus,Denmark,57.05N,10.33E
1764-01-01,0.6649999999999998,6.601,Århus,Denmark,57.05N,10.33E
1764-02-01,2.878,3.738,Århus,Denmark,57.05N,10.33E
1764-03-01,2.1590000000000003,3.98,Århus,Denmark,57.05N,10.33E
1764-04-01,5.715,5.412999999999999,Århus,Denmark,57.05N,10.33E
1764-05-01,11.800999999999998,8.793,Århus,Denmark,57.05N,10.33E
1764-06-01,12.989,3.806,Århus,Denmark,57.05N,10.33E
1764-07-01,19.162000000000006,6.4879999999999995,Århus,Denmark,57.05N,10.33E
1764-08-01,15.502999999999998,1.6740000000000002,Århus,Denmark,57.05N,10.33E
1764-09-01,11.31,5.642,Århus,Denmark,57.05N,10.33E
1764-10-01,7.1099999999999985,3.21,Århus,Denmark,57.05N,10.33E
1764-11-01,2.274,3.7119999999999997,Århus,Denmark,57.05N,10.33E
1764-12-01,-0.8210000000000002,4.723,Århus,Denmark,57.05N,10.33E
1765-01-01,-0.408,11.378,Århus,Denmark,57.05N,10.33E
1765-02-01,-2.603,4.754,Århus,Denmark,57.05N,10.33E
1765-03-01,3.12,3.2089999999999996,Århus,Denmark,57.05N,10.33E
1765-04-01,6.507000000000001,1.78,Århus,Denmark,57.05N,10.33E
1765-05-01,9.658999999999999,2.222,Århus,Denmark,57.05N,10.33E
1765-06-01,14.274,3.5269999999999997,Århus,Denmark,57.05N,10.33E
1765-07-01,15.238,4.165,Århus,Denmark,57.05N,10.33E
1765-08-01,15.977999999999998,3.478,Århus,Denmark,57.05N,10.33E
1765-09-01,11.537,1.84,Århus,Denmark,57.05N,10.33E
1765-10-01,8.121,0.99,Århus,Denmark,57.05N,10.33E
1765-11-01,3.927,4.388,Århus,Denmark,57.05N,10.33E
1765-12-01,-0.16000000000000014,2.65,Århus,Denmark,57.05N,10.33E
1766-01-01,-1.21,7.792000000000001,Århus,Denmark,57.05N,10.33E
1766-02-01,-1.5319999999999998,5.141,Århus,Denmark,57.05N,10.33E
1766-03-01,2.475,3.286,Århus,Denmark,57.05N,10.33E
1766-04-01,8.199,4.165,Århus,Denmark,57.05N,10.33E
1766-05-01,10.759,2.258,Århus,Denmark,57.05N,10.33E
1766-06-01,16.351,8.468,Århus,Denmark,57.05N,10.33E
1766-07-01,18.305999999999997,4.599,Århus,Denmark,57.05N,10.33E
1766-08-01,16.391,3.8369999999999997,Århus,Denmark,57.05N,10.33E
1766-09-01,13.039000000000001,4.539,Århus,Denmark,57.05N,10.33E
1766-10-01,7.81,2.153,Århus,Denmark,57.05N,10.33E
1766-11-01,5.297999999999999,5.877000000000001,Århus,Denmark,57.05N,10.33E
1766-12-01,-0.6360000000000001,4.02,Århus,Denmark,57.05N,10.33E
1767-01-01,-6.297999999999999,7.282,Århus,Denmark,57.05N,10.33E
1767-02-01,0.07000000000000006,9.127,Århus,Denmark,57.05N,10.33E
1767-03-01,1.88,9.906,Århus,Denmark,57.05N,10.33E
1767-04-01,3.744,7.757000000000001,Århus,Denmark,57.05N,10.33E
1767-05-01,9.561,2.404,Århus,Denmark,57.05N,10.33E
1767-06-01,13.458,4.51,Århus,Denmark,57.05N,10.33E
1767-07-01,15.71,5.0489999999999995,Århus,Denmark,57.05N,10.33E
1767-08-01,17.182000000000002,2.823,Århus,Denmark,57.05N,10.33E
1767-09-01,14.331,4.8839999999999995,Århus,Denmark,57.05N,10.33E
1767-10-01,8.001,2.998,Århus,Denmark,57.05N,10.33E
1767-11-01,5.817,9.249,Århus,Denmark,57.05N,10.33E
1767-12-01,-0.09899999999999998,6.91,Århus,Denmark,57.05N,10.33E
1768-01-01,-3.122,15.03,Århus,Denmark,57.05N,10.33E
1768-02-01,-1.23,10.450999999999999,Århus,Denmark,57.05N,10.33E
1768-03-01,-0.3480000000000003,7.45,Århus,Denmark,57.05N,10.33E
1768-04-01,5.101,4.329,Århus,Denmark,57.05N,10.33E
1768-05-01,10.787,3.177,Århus,Denmark,57.05N,10.33E
1768-06-01,15.179,5.496,Århus,Denmark,57.05N,10.33E
1768-07-01,17.159000000000002,5.297000000000001,Århus,Denmark,57.05N,10.33E
1768-08-01,16.384,1.756,Århus,Denmark,57.05N,10.33E
1768-09-01,11.475,5.404,Århus,Denmark,57.05N,10.33E
1768-10-01,6.683999999999998,5.9,Århus,Denmark,57.05N,10.33E
1768-11-01,3.715,6.256,Århus,Denmark,57.05N,10.33E
1768-12-01,2.568,8.088,Århus,Denmark,57.05N,10.33E
1769-01-01,0.6559999999999999,7.175,Århus,Denmark,57.05N,10.33E
1769-02-01,-0.39899999999999997,3.858,Århus,Denmark,57.05N,10.33E
1769-03-01,2.583,6.409,Århus,Denmark,57.05N,10.33E
1769-04-01,6.1770000000000005,6.7860000000000005,Århus,Denmark,57.05N,10.33E
1769-05-01,10.597999999999999,10.197000000000001,Århus,Denmark,57.05N,10.33E
1769-06-01,14.661,5.292999999999999,Århus,Denmark,57.05N,10.33E
1769-07-01,16.722,6.26,Århus,Denmark,57.05N,10.33E
1769-08-01,15.267000000000001,6.066,Århus,Denmark,57.05N,10.33E
1769-09-01,12.947000000000001,1.253,Århus,Denmark,57.05N,10.33E
1769-10-01,5.228999999999999,3.553,Århus,Denmark,57.05N,10.33E
1769-11-01,2.61,1.639,Århus,Denmark,57.05N,10.33E
1769-12-01,1.362,4.297,Århus,Denmark,57.05N,10.33E
1770-01-01,-1.069,8.054,Århus,Denmark,57.05N,10.33E
1770-02-01,1.045,4.691,Århus,Denmark,57.05N,10.33E
1770-03-01,-3.143,5.763,Århus,Denmark,57.05N,10.33E
1770-04-01,4.217,13.619000000000002,Århus,Denmark,57.05N,10.33E
1770-05-01,11.125,1.804,Århus,Denmark,57.05N,10.33E
1770-06-01,14.675,5.053999999999999,Århus,Denmark,57.05N,10.33E
1770-07-01,17.425,9.008,Århus,Denmark,57.05N,10.33E
1770-08-01,17.238999999999994,5.246,Århus,Denmark,57.05N,10.33E
1770-09-01,14.573,3.997,Århus,Denmark,57.05N,10.33E
1770-10-01,9.06,5.992999999999999,Århus,Denmark,57.05N,10.33E
1770-11-01,1.934,7.614,Århus,Denmark,57.05N,10.33E
1770-12-01,0.642,11.147,Århus,Denmark,57.05N,10.33E
1771-01-01,-3.483,9.274,Århus,Denmark,57.05N,10.33E
1771-02-01,-2.997,4.922,Århus,Denmark,57.05N,10.33E
1771-03-01,-2.8720000000000003,9.106,Århus,Denmark,57.05N,10.33E
1771-04-01,2.484,8.211,Århus,Denmark,57.05N,10.33E
1771-05-01,12.203,13.362,Århus,Denmark,57.05N,10.33E
1771-06-01,16.824,3.62,Århus,Denmark,57.05N,10.33E
1771-07-01,16.344,1.6019999999999999,Århus,Denmark,57.05N,10.33E
1771-08-01,14.488,3.165,Århus,Denmark,57.05N,10.33E
1771-09-01,12.113,1.92,Århus,Denmark,57.05N,10.33E
1771-10-01,8.177999999999999,1.482,Århus,Denmark,57.05N,10.33E
1771-11-01,2.859,5.183,Århus,Denmark,57.05N,10.33E
1771-12-01,2.664,4.851,Århus,Denmark,57.05N,10.33E
1772-01-01,-1.882,9.673,Århus,Denmark,57.05N,10.33E
1772-02-01,-2.9589999999999996,11.414000000000001,Århus,Denmark,57.05N,10.33E
1772-03-01,-0.867,4.887,Århus,Denmark,57.05N,10.33E
1772-04-01,4.1869999999999985,5.337000000000001,Århus,Denmark,57.05N,10.33E
1772-05-01,8.914,1.879,Århus,Denmark,57.05N,10.33E
1772-06-01,15.192,6.075,Århus,Denmark,57.05N,10.33E
1772-07-01,16.668000000000006,3.95,Århus,Denmark,57.05N,10.33E
1772-08-01,16.076,5.365,Århus,Denmark,57.05N,10.33E
1772-09-01,12.777000000000001,3.832,Århus,Denmark,57.05N,10.33E
1772-10-01,10.107999999999999,2.697,Århus,Denmark,57.05N,10.33E
1772-11-01,6.229,6.4670000000000005,Århus,Denmark,57.05N,10.33E
1772-12-01,2.422,4.475,Århus,Denmark,57.05N,10.33E
1773-01-01,1.117,2.642,Århus,Denmark,57.05N,10.33E
1773-02-01,-0.6459999999999999,3.6210000000000004,Århus,Denmark,57.05N,10.33E
1773-03-01,2.289,2.3680000000000003,Århus,Denmark,57.05N,10.33E
1773-04-01,6.8260000000000005,3.82,Århus,Denmark,57.05N,10.33E
1773-05-01,12.296,4.072,Århus,Denmark,57.05N,10.33E
1773-06-01,14.757,1.6159999999999999,Århus,Denmark,57.05N,10.33E
1773-07-01,17.247,2.8160000000000003,Århus,Denmark,57.05N,10.33E
1773-08-01,17.4,2.292,Århus,Denmark,57.05N,10.33E
1773-09-01,13.501,2.286,Århus,Denmark,57.05N,10.33E
1773-10-01,9.693,1.736,Århus,Denmark,57.05N,10.33E
1773-11-01,4.472,7.856,Århus,Denmark,57.05N,10.33E
1773-12-01,1.6440000000000001,6.646,Århus,Denmark,57.05N,10.33E
1774-01-01,-4.601,9.985,Århus,Denmark,57.05N,10.33E
1774-02-01,-0.08299999999999996,8.664,Århus,Denmark,57.05N,10.33E
1774-03-01,2.11,2.97,Århus,Denmark,57.05N,10.33E
1774-04-01,6.487,6.0520000000000005,Århus,Denmark,57.05N,10.33E
1774-05-01,11.594,2.642,Århus,Denmark,57.05N,10.33E
1774-06-01,16.123,8.789,Århus,Denmark,57.05N,10.33E
1774-07-01,17.003,8.338,Århus,Denmark,57.05N,10.33E
1774-08-01,16.012999999999998,3.615,Århus,Denmark,57.05N,10.33E
1774-09-01,11.974,3.995,Århus,Denmark,57.05N,10.33E
1774-10-01,8.16,5.247000000000001,Århus,Denmark,57.05N,10.33E
1774-11-01,-1.2910000000000004,8.585,Århus,Denmark,57.05N,10.33E
1774-12-01,-1.1869999999999998,6.162999999999999,Århus,Denmark,57.05N,10.33E
1775-01-01,-0.983,5.723,Århus,Denmark,57.05N,10.33E
1775-02-01,1.9410000000000005,5.5089999999999995,Århus,Denmark,57.05N,10.33E
1775-03-01,2.908,2.208,Århus,Denmark,57.05N,10.33E
1775-04-01,5.966,1.49,Århus,Denmark,57.05N,10.33E
1775-05-01,11.273,3.906,Århus,Denmark,57.05N,10.33E
1775-06-01,17.367,6.17,Århus,Denmark,57.05N,10.33E
1775-07-01,18.487,1.81,Århus,Denmark,57.05N,10.33E
1775-08-01,18.012999999999995,2.011,Århus,Denmark,57.05N,10.33E
1775-09-01,15.632,3.61,Århus,Denmark,57.05N,10.33E
1775-10-01,9.318,2.858,Århus,Denmark,57.05N,10.33E
1775-11-01,1.778,6.268,Århus,Denmark,57.05N,10.33E
1775-12-01,2.153,2.355,Århus,Denmark,57.05N,10.33E
1776-01-01,-6.917999999999999,7.193,Århus,Denmark,57.05N,10.33E
1776-02-01,0.7879999999999999,4.387,Århus,Denmark,57.05N,10.33E
1776-03-01,2.434,3.3960000000000004,Århus,Denmark,57.05N,10.33E
1776-04-01,5.912000000000001,1.415,Århus,Denmark,57.05N,10.33E
1776-05-01,9.422,4.467,Århus,Denmark,57.05N,10.33E
1776-06-01,16.291,3.719,Århus,Denmark,57.05N,10.33E
1776-07-01,18.799,3.542,Århus,Denmark,57.05N,10.33E
1776-08-01,16.971,5.303,Århus,Denmark,57.05N,10.33E
1776-09-01,13.035,3.698,Århus,Denmark,57.05N,10.33E
1776-10-01,8.695,3.7060000000000004,Århus,Denmark,57.05N,10.33E
1776-11-01,4.226,7.459,Århus,Denmark,57.05N,10.33E
