1.98701E+11,1987,1,28,,0,,153,Pakistan,6,South Asia,Sindh,Karachi,24.893379,67.028061,1,0,,,1,1,1,-9,,,1,1,0,6,Hostage Taking (Kidnapping),,,,,2,Government (General),17,Head of State,,Benazir Bhutlo,153,Pakistan,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,2,Automatic Weapon,,,,,,,,,,,,,Assault rifle,0,,,0,,,0,,,,,0,,,,,,Pakistan,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,"198701280007, 198701280008, 198701280009"
1.98701E+11,1987,1,28,,0,,153,Pakistan,6,South Asia,Sindh,Karachi,24.893379,67.028061,1,0,,,1,1,1,-9,,,1,1,0,6,Hostage Taking (Kidnapping),,,,,2,Government (General),17,Head of State,,Benazir Bhutlo,153,Pakistan,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,2,Automatic Weapon,,,,,,,,,,,,,Assault rifle,0,,,0,,,0,,,,,0,,,,,,Pakistan,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,"198701280008, 198701280007, 198701280009"
1.98701E+11,1987,1,28,,0,,153,Pakistan,6,South Asia,Sindh,Karachi,24.893379,67.028061,1,0,,,1,1,1,-9,,,1,1,0,6,Hostage Taking (Kidnapping),,,,,2,Government (General),17,Head of State,,Benazir Bhutlo,153,Pakistan,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,2,Automatic Weapon,,,,,,,,,,,,,Assault rifle,0,,,0,,,0,,,,,0,,,,,,Pakistan,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,"198701280009, 198701280007, 198701280008"
1.98701E+11,1987,1,29,,0,,160,Philippines,5,Southeast Asia,Zamboanga del Sur,Zamboanga City,6.908868,122.0772,1,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,2,Government (General),21,Government Building/Facility/Office,,government bldgs,160,Philippines,,,,,,,,,,,,,,,,,Moro Islamic Liberation Front (MILF),,,,,,,0,,,0,40,,,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,Burned,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
1.98701E+11,1987,1,30,,0,,159,Peru,3,South America,Lima,Lima,-12.046378,-77.042791,1,0,,,1,1,1,0,,,0,1,0,1,Assassination,,,,,2,Government (General),18,"Government Personnel (excluding police, military)",Peru Government,"Cesar Lopez Silva, Sec. For General Affairs, Chief of Public Health",159,Peru,,,,,,,,,,,,,,,,,Shining Path (SL),,,,,,,0,,,0,4,,,,,,,,,,,,5,Firearms,3,Handgun,5,Firearms,5,Unknown Gun Type,,,,,,,,,Pistol; Gunfire,1,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
1.98701E+11,1987,1,30,,0,,159,Peru,3,South America,Amazonas,Balcon,-11.900371,-74.600005,1,0,,,1,1,1,0,,,0,1,0,1,Assassination,,,,,14,Private Citizens & Property,77,Laborer (General)/Occupation Identified,,Informers + Traitors,159,Peru,,,,,,,,,,,,,,,,,Shining Path (SL),,,,,,,0,,,0,60,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,3,,,0,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
1.98701E+11,1987,1,30,,0,,183,South Africa,11,Sub-Saharan Africa,Gauteng,Alexandra,-26.103533,28.097631,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,9,Unknown,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",,SADF/SAP personnel,183,South Africa,,,,,,,,,,,,,,,,,African National Congress (South Africa),,,,,,,0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,Attack,4,0,0,0,0,0,1,,,,,0,,,,,,,0,,,,,,,,,,,,,UMD South Africa,0,0,0,0,
1.98701E+11,1987,1,31,,0,,92,India,6,South Asia,Punjab,Unknown,31.147131,75.341218,4,0,,,1,1,1,-9,,,0,1,0,2,Armed Assault,,,,,8,Educational Institution,49,School/University/Educational Building,,Religious Place,92,India,,,,,,,,,,,,,,,,,Terrorists,,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Firearm,1,,,2,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
1.98701E+11,1987,1,31,,0,,159,Peru,3,South America,Unknown,Unknown,,,5,0,,,1,1,1,0,,,1,1,0,9,Unknown,,,,,14,Private Citizens & Property,75,Village/City/Town/Suburb,,Towns of Ayacucho & Cusco,159,Peru,,,,,,,,,,,,,,,,,Shining Path (SL),,,,,,,0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,8,,,3,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,"198701310003, 198701310004"
1.98701E+11,1987,1,31,,0,,159,Peru,3,South America,Unknown,Unknown,,,5,0,,,1,1,1,0,,,1,1,0,9,Unknown,,,,,14,Private Citizens & Property,75,Village/City/Town/Suburb,,Towns of Ayacucho & Cusco,159,Peru,,,,,,,,,,,,,,,,,Shining Path (SL),,,,,,,0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,8,,,3,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,"198701310004, 198701310003"
